year,series,value,source,source_cell,definition,unit,margin_of_error
1975,Vacuum,99.2,Greenwood et al. author workbook,"Appliances: row 56, columns 5-6",Vacuum,percent of households,
1976,Vacuum,99.5,Greenwood et al. author workbook,"Appliances: row 57, columns 5-6",Vacuum,percent of households,
1978,Vacuum,99.9,Greenwood et al. author workbook,"Appliances: row 59, columns 5-6",Vacuum,percent of households,
1920,Washing machine,39.0,Greenwood et al. author workbook,"Appliances: row 3, columns 7-8",Washing machine,percent of households,
1930,Washing machine,55.0,Greenwood et al. author workbook,"Appliances: row 4, columns 7-8",Washing machine,percent of households,
1960,Washing machine,73.0,Greenwood et al. author workbook,"Appliances: row 5, columns 7-8",Washing machine,percent of households,
1970,Washing machine,70.0,Greenwood et al. author workbook,"Appliances: row 6, columns 7-8",Washing machine,percent of households,
1984,Washing machine,73.0,Greenwood et al. author workbook,"Appliances: row 7, columns 7-8",Washing machine,percent of households,
1987,Washing machine,75.0,Greenwood et al. author workbook,"Appliances: row 8, columns 7-8",Washing machine,percent of households,
1989,Washing machine,75.0,Greenwood et al. author workbook,"Appliances: row 9, columns 7-8",Washing machine,percent of households,
2005,Washing machine,84.2,"Siebens 2013, Table 3, p10",,Washing machine,percent of households,0.4
2011,Washing machine,85.2,"Siebens 2013, Table 3, p10",,Washing machine,percent of households,0.3
