year,source_year,source_series,oecd_value,value,series,unit,method,difference_pp
1950,1950,East Asia,45.8,45.8,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1960,1960,East Asia,56.2,56.2,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1970,1970,East Asia,71.8,71.8,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1980,1980,East Asia,72.4,72.4,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1990,1990,East Asia,80.0,80.0,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
2000,2010,East Asia,87.1,87.1,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
2010,2000,East Asia,89.8,89.8,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1870,1870,South and South-East Asia,1.8,1.8,South and Southeast Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1880,1880,South and South-East Asia,2.2,2.2,South and Southeast Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1890,1890,South and South-East Asia,2.5,2.5,South and Southeast Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1900,1900,South and South-East Asia,5.0,5.0,South and Southeast Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1910,1910,South and South-East Asia,6.3,6.3,South and Southeast Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1920,1920,South and South-East Asia,8.6,8.6,South and Southeast Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1930,1930,South and South-East Asia,11.5,11.5,South and Southeast Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1940,1940,South and South-East Asia,15.2,15.2,South and Southeast Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1950,1950,South and South-East Asia,19.7,19.7,South and Southeast Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1960,1960,South and South-East Asia,25.6,25.6,South and Southeast Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1970,1970,South and South-East Asia,34.4,34.4,South and Southeast Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1980,1980,South and South-East Asia,40.5,40.5,South and Southeast Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1990,1990,South and South-East Asia,53.7,53.7,South and Southeast Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
2000,2010,South and South-East Asia,65.9,65.9,South and Southeast Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
2010,2000,South and South-East Asia,70.3,70.3,South and Southeast Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1870,1870,Middle East and North Africa,4.2,4.2,Middle East,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1880,1880,Middle East and North Africa,4.7,4.7,Middle East,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1890,1890,Middle East and North Africa,5.3,5.3,Middle East,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1900,1900,Middle East and North Africa,5.8,5.8,Middle East,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1910,1910,Middle East and North Africa,7.1,7.1,Middle East,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1920,1920,Middle East and North Africa,7.5,7.5,Middle East,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1930,1930,Middle East and North Africa,8.7,8.7,Middle East,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1940,1940,Middle East and North Africa,10.5,10.5,Middle East,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1950,1950,Middle East and North Africa,14.0,14.0,Middle East,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1960,1960,Middle East and North Africa,21.1,21.1,Middle East,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
