year,polity_valid_mean,polity2_mean,n_valid,n_polity2,n_rows
1922,2.2459016393442623,2.0,61,66,67
1923,1.9508196721311475,1.6923076923076923,61,65,66
1924,1.532258064516129,1.2878787878787878,62,66,68
1925,1.1791044776119404,1.0735294117647058,67,68,68
1926,1.0153846153846153,0.9264705882352942,65,68,69
1927,1.0307692307692307,0.8235294117647058,65,68,69
1928,0.6119402985074627,0.5652173913043478,67,69,69
1929,0.4626865671641791,0.3188405797101449,67,69,69
1930,0.265625,0.14492753623188406,64,69,69
1931,0.21212121212121213,-0.014492753623188406,66,69,69
1932,0.22727272727272727,0.014492753623188406,66,69,69
1933,-0.26153846153846155,-0.34782608695652173,65,69,69
1934,-0.7384615384615385,-0.855072463768116,65,69,69
1935,-0.7352941176470589,-0.8428571428571429,68,70,70
1936,-1.391304347826087,-1.391304347826087,69,69,70
1937,-0.8805970149253731,-0.9411764705882353,67,68,70
1938,-0.7878787878787878,-0.7941176470588235,66,68,70
1939,-1.0476190476190477,-0.9850746268656716,63,67,70
1940,-2.2413793103448274,-2.1746031746031744,58,63,70
1941,-1.9423076923076923,-1.7413793103448276,52,58,67
1942,-2.0185185185185186,-1.8166666666666667,54,60,67
1943,-1.9056603773584906,-1.6557377049180328,53,61,68
1944,-0.7037037037037037,-0.8571428571428571,54,63,69
1945,0.22413793103448276,0.05970149253731343,58,67,72
1946,0.7258064516129032,0.2318840579710145,62,69,72
1947,0.36507936507936506,0.02857142857142857,63,70,73
1948,0.1643835616438356,0.02666666666666667,73,75,78
1949,-0.10526315789473684,-0.24358974358974358,76,78,79
1950,-0.012658227848101266,-0.012658227848101266,79,79,80
1951,-0.06329113924050633,-0.15,79,80,81
1952,0.1282051282051282,-0.012345679012345678,78,81,81
1953,0.07692307692307693,-0.0975609756097561,78,82,82
1954,-0.05063291139240506,-0.32142857142857145,79,84,84
1955,-0.18292682926829268,-0.27058823529411763,82,85,85
1956,0.047619047619047616,0.05813953488372093,84,86,87
1957,0.13953488372093023,0.1590909090909091,86,88,88
1958,-0.3218390804597701,-0.32954545454545453,87,88,89
1959,-0.14444444444444443,-0.14285714285714285,90,91,92
1960,-0.6915887850467289,-0.6454545454545455,107,110,111
1961,-0.7636363636363637,-0.7719298245614035,110,114,114
1962,-0.7192982456140351,-0.7627118644067796,114,118,118
1963,-1.087719298245614,-1.0756302521008403,114,119,120
1964,-1.0701754385964912,-1.115702479338843,114,121,122
1965,-1.1610169491525424,-1.1639344262295082,118,122,123
1966,-1.2950819672131149,-1.264,122,125,126
1967,-1.5725806451612903,-1.5476190476190477,124,126,127
1968,-1.4126984126984128,-1.3953488372093024,126,129,130
1969,-1.752,-1.689922480620155,125,129,130
