Entity,Year,prevalence_percent,source_entity,source_value,is_censored_threshold,source_note
Southeast Asia,1997,24.0,South-Eastern Asia,24,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Southeast Asia,1998,23.8,South-Eastern Asia,23.8,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Southeast Asia,1999,23.4,South-Eastern Asia,23.4,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Southeast Asia,2000,22.9,South-Eastern Asia,22.9,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Southeast Asia,2001,22.3,South-Eastern Asia,22.3,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Southeast Asia,2002,21.6,South-Eastern Asia,21.6,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Southeast Asia,2003,20.8,South-Eastern Asia,20.8,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Southeast Asia,2004,19.9,South-Eastern Asia,19.899999999999999,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Southeast Asia,2005,19.1,South-Eastern Asia,19.100000000000001,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Southeast Asia,2006,18.3,South-Eastern Asia,18.3,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Southeast Asia,2007,17.4,South-Eastern Asia,17.399999999999999,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Southeast Asia,2008,16.3,South-Eastern Asia,16.3,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Southeast Asia,2009,14.8,South-Eastern Asia,14.8,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Southeast Asia,2010,13.4,South-Eastern Asia,13.4,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Southeast Asia,2011,12.1,South-Eastern Asia,12.1,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Southeast Asia,2012,11.2,South-Eastern Asia,11.2,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Southeast Asia,2013,10.5,South-Eastern Asia,10.5,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Southeast Asia,2014,10.0,South-Eastern Asia,10,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Southeast Asia,2015,9.6,South-Eastern Asia,9.6,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Sub-Saharan Africa,1991,33.2,Sub-Saharan Africa,33.200000000000003,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Sub-Saharan Africa,1992,32.8,Sub-Saharan Africa,32.799999999999997,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Sub-Saharan Africa,1993,32.5,Sub-Saharan Africa,32.5,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Sub-Saharan Africa,1994,32.4,Sub-Saharan Africa,32.4,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Sub-Saharan Africa,1995,32.0,Sub-Saharan Africa,32,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Sub-Saharan Africa,1996,31.7,Sub-Saharan Africa,31.7,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Sub-Saharan Africa,1997,31.3,Sub-Saharan Africa,31.3,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Sub-Saharan Africa,1998,31.1,Sub-Saharan Africa,31.1,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Sub-Saharan Africa,1999,30.7,Sub-Saharan Africa,30.7,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Sub-Saharan Africa,2000,30.4,Sub-Saharan Africa,30.4,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Sub-Saharan Africa,2001,30.0,Sub-Saharan Africa,30,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Sub-Saharan Africa,2002,29.6,Sub-Saharan Africa,29.6,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Sub-Saharan Africa,2003,29.1,Sub-Saharan Africa,29.1,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Sub-Saharan Africa,2004,28.3,Sub-Saharan Africa,28.3,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Sub-Saharan Africa,2005,27.5,Sub-Saharan Africa,27.5,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Sub-Saharan Africa,2006,26.5,Sub-Saharan Africa,26.5,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Sub-Saharan Africa,2007,25.9,Sub-Saharan Africa,25.9,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Sub-Saharan Africa,2008,25.5,Sub-Saharan Africa,25.5,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Sub-Saharan Africa,2009,25.1,Sub-Saharan Africa,25.1,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Sub-Saharan Africa,2010,24.5,Sub-Saharan Africa,24.5,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Sub-Saharan Africa,2011,24.1,Sub-Saharan Africa,24.1,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Sub-Saharan Africa,2012,23.6,Sub-Saharan Africa,23.6,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Sub-Saharan Africa,2013,23.2,Sub-Saharan Africa,23.2,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Sub-Saharan Africa,2014,23.1,Sub-Saharan Africa,23.1,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Sub-Saharan Africa,2015,23.0,Sub-Saharan Africa,23,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
