Entity,Year,under5_mortality_per_1000,under5_mortality_percent
Canada,1970,22.0,2.2
Canada,1971,21.0,2.1
Canada,1972,19.9,1.9899999999999998
Canada,1973,19.0,1.9
Canada,1974,18.0,1.8
Canada,1975,17.0,1.7
Canada,1976,16.0,1.6
Canada,1977,15.1,1.51
Canada,1978,14.2,1.42
Canada,1979,13.3,1.33
Canada,1980,12.5,1.25
Canada,1981,11.8,1.1800000000000002
Canada,1982,11.2,1.1199999999999999
Canada,1983,10.6,1.06
Canada,1984,10.1,1.01
Canada,1985,9.7,0.97
Canada,1986,9.4,0.9400000000000001
Canada,1987,9.1,0.9099999999999999
Canada,1988,8.8,0.8800000000000001
Canada,1989,8.6,0.86
Canada,1990,8.3,0.8300000000000001
Canada,1991,8.0,0.8
Canada,1992,7.7,0.77
Canada,1993,7.4,0.74
Canada,1994,7.2,0.72
Canada,1995,6.9,0.6900000000000001
Canada,1996,6.7,0.67
Canada,1997,6.5,0.65
Canada,1998,6.4,0.64
Canada,1999,6.3,0.63
Canada,2000,6.2,0.62
Canada,2001,6.2,0.62
Canada,2002,6.2,0.62
Canada,2003,6.1,0.61
Canada,2004,6.1,0.61
Canada,2005,6.1,0.61
Canada,2006,6.0,0.6
Canada,2007,5.9,0.5900000000000001
Canada,2008,5.8,0.58
Canada,2009,5.7,0.5700000000000001
Canada,2010,5.6,0.5599999999999999
Canada,2011,5.4,0.54
Canada,2012,5.3,0.53
Canada,2013,5.2,0.52
Chile,1800,417.44,41.744
Chile,1801,417.44,41.744
Chile,1802,417.44,41.744
Chile,1803,417.44,41.744
Chile,1804,417.44,41.744
Chile,1805,417.44,41.744
Chile,1806,417.44,41.744
Chile,1807,417.44,41.744
Chile,1808,417.44,41.744
Chile,1809,417.44,41.744
Chile,1810,417.44,41.744
Chile,1811,417.44,41.744
Chile,1812,417.44,41.744
Chile,1813,417.44,41.744
Chile,1814,417.44,41.744
Chile,1815,417.44,41.744
Chile,1816,417.44,41.744
Chile,1817,417.44,41.744
Chile,1818,417.44,41.744
Chile,1819,417.44,41.744
Chile,1820,417.44,41.744
Chile,1821,417.44,41.744
Chile,1822,417.44,41.744
Chile,1823,417.44,41.744
Chile,1824,417.44,41.744
Chile,1825,417.44,41.744
Chile,1826,417.44,41.744
Chile,1827,417.44,41.744
Chile,1828,417.44,41.744
Chile,1829,417.44,41.744
Chile,1830,417.44,41.744
Chile,1831,417.44,41.744
Chile,1832,417.44,41.744
Chile,1833,417.44,41.744
Chile,1834,417.44,41.744
Chile,1835,417.44,41.744
Chile,1836,417.44,41.744
