year,deaths,population_thousands,rate,country,definition,source_url
1984,1600.0,6455.896,24.783546699017457,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1985,1873.0,6484.834,28.88277479423529,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1986,1710.0,6523.413,26.213272101582408,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1987,1827.0,6566.799,27.82177435307522,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1988,1686.0,6619.973,25.468381819684158,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1989,1728.0,6673.85,25.892101260891387,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1990,1716.0,6750.693,25.41961247534142,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1991,1778.0,6842.768,25.98363703109619,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1992,1668.0,6907.959,24.14606108692886,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1993,1634.0,6968.57,23.448139288261437,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1994,1738.0,7019.019,24.761294990083375,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1995,1419.0,7062.354,20.09245076075201,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
