"idper","yearq","year","ager","sex","hispanic","race","race_ethnicity","hincome1","hincome2","marital","popsize","region","msa","locality","educatn1","educatn2","veteran","citizen","newcrime","newoff","seriousviolent","notify","vicservices","locationr","direl","weapon","weapcat","injury","serious","treatment","offenderage","offendersex","offtracenew","wgtviccy","series","newwgt"
"153369116870999999999911601","1993.1","1993","4","1","2","1","1","5","-1","2","-1","-1","2","-1","5","-1","-2","-1","1","3","1","2","2","3","4","1","3","0","1","0","3","1","-1","4019.55339","1","4019.55339"
"153377522662999999999911502","1993.1","1993","5","2","2","1","1","6","-1","2","-1","-1","2","-1","4","-1","-2","-1","1","4","2","1","2","1","2","2","0","1","3","2","3","2","-1","3713.58137","1","3713.58137"
"153405183714999999999913501","1993.1","1993","5","1","2","1","1","7","-1","2","-1","-1","3","-1","5","-1","-2","-1","1","4","2","2","2","3","4","2","0","0","1","0","4","1","-1","4043.64888","1","4043.64888"
"153405970149999999999953601","1993.1","1993","2","2","2","1","1","4","-1","1","-1","-1","1","-1","4","-1","-2","-1","1","4","2","2","2","3","4","2","0","0","1","0","5","1","-1","5650.83278","1","5650.83278"
"153459126189999999999913501","1993.1","1993","4","2","2","1","1","4","-1","2","-1","-1","2","-1","5","-1","-2","-1","1","4","2","2","2","2","1","2","0","0","1","0","4","1","-1","4650.4893","1","4650.4893"
"153459126189999999999913502","1993.1","1993","1","2","2","1","1","4","-1","1","-1","-1","2","-1","3","-1","-2","-1","1","4","2","2","2","3","3","2","0","0","1","0","2","2","-1","5528.64792","1","5528.64792"
"153459126189999999999913504","1993.1","1993","2","1","2","1","1","4","-1","2","-1","-1","2","-1","3","-1","-2","-1","1","4","2","2","2","2","3","2","0","0","1","0","4","1","-1","5107.96347","1","5107.96347"
"153588296049999999999913505","1993.1","1993","3","1","2","1","1","6","-1","1","-1","-1","1","-1","4","-1","-2","-1","1","4","2","2","2","3","4","2","0","0","1","0","98","1","-1","5192.44494","1","5192.44494"
"153588296049999999999913505","1993.1","1993","3","1","2","1","1","6","-1","1","-1","-1","1","-1","4","-1","-2","-1","1","3","1","2","2","2","1","1","3","0","1","0","4","2","-1","5192.44494","2","31154.66964"
"153714666754999999999911601","1993.1","1993","4","1","2","1","1","7","-1","2","-1","-1","2","-1","5","-1","-2","-1","1","4","2","1","2","3","3","2","0","0","1","0","4","1","-1","6285.52953","1","6285.52953"
"153744991640999999999931502","1993.1","1993","1","2","2","1","1","5","-1","1","-1","-1","2","-1","2","-1","-2","-1","1","4","2","2","2","4","3","2","0","0","1","0","5","2","-1","4186.50422","1","4186.50422"
"153744991673999999999931502","1993.1","1993","3","2","2","1","1","98","-1","1","-1","-1","2","-1","4","-1","-2","-1","1","1","1","2","2","2","3","2","0","1","4","1","4","1","-1","3959.3996","1","3959.3996"
"153755568670999999999912506","1993.1","1993","1","1","2","2","2","2","-1","1","-1","-1","1","-1","4","-1","-2","-1","1","2","1","1","2","3","4","1","1","0","1","0","5","1","-1","5791.65505","1","5791.65505"
"153764616488999999999922501","1993.1","1993","4","1","2","1","1","5","-1","1","-1","-1","2","-1","5","-1","-2","-1","1","4","2","1","2","5","3","3","5","0","1","0","98","1","-1","3555.7419","1","3555.7419"
"153768561088999999999922501","1993.1","1993","5","1","2","1","1","5","-1","2","-1","-1","2","-1","4","-1","-2","-1","1","4","2","1","2","1","2","2","0","1","3","1","4","1","-1","3876.346","1","3876.346"
"153769845245999999999912602","1993.1","1993","1","1","2","2","2","3","-1","1","-1","-1","1","-1","2","-1","-2","-1","1","4","2","2","2","2","3","3","5","0","1","0","2","1","-1","5345.21351","1","5345.21351"
"153770732108999999999911601","1993.1","1993","4","1","2","1","1","98","-1","1","-1","-1","2","-1","5","-1","-2","-1","1","2","1","1","2","3","4","1","1","0","1","0","3","1","-1","4782.32382","1","4782.32382"
"153777751254999999999912601","1993.1","1993","4","1","2","1","1","7","-1","4","-1","-1","2","-1","5","-1","-2","-1","1","4","2","2","2","3","4","2","0","0","1","0","4","1","-1","3513.54652","1","3513.54652"
"153796753242999999999921602","1993.1","1993","1","2","2","1","1","4","-1","1","-1","-1","2","-1","4","-1","-2","-1","1","4","2","2","2","3","3","2","0","0","1","0","3","1","-1","4285.45392","1","4285.45392"
"154217804654999999999922601","1993.1","1993","4","2","2","1","1","3","-1","1","-1","-1","1","-1","5","-1","-2","-1","1","2","1","1","2","3","4","2","0","0","1","0","4","1","-1","4799.47899","1","4799.47899"
"154271111357999999999922501","1993.1","1993","4","2","2","2","2","2","-1","5","-1","-1","1","-1","4","-1","-2","-1","1","4","2","1","2","1","1","2","0","1","3","2","4","1","-1","3268.5029","1","3268.5029"
"154271111357999999999922503","1993.1","1993","1","1","2","2","2","2","-1","1","-1","-1","1","-1","3","-1","-2","-1","1","2","1","2","2","3","4","1","4","0","1","0","3","1","-1","3306.58968","1","3306.58968"
"154271111357999999999922503","1993.1","1993","1","1","2","2","2","2","-1","1","-1","-1","1","-1","3","-1","-2","-1","1","2","1","2","2","3","4","1","1","0","1","0","5","1","-1","3306.58968","1","3306.58968"
"154356850617999999999911506","1993.1","1993","2","2","2","1","1","98","-1","1","-1","-1","2","-1","4","-1","-2","-1","1","4","2","2","2","3","4","2","0","0","1","0","3","1","-1","4056.76746","1","4056.76746"
"154498766062999999999913601","1993.1","1993","4","1","2","2","2","3","-1","2","-1","-1","3","-1","4","-1","-2","-1","1","4","2","2","2","3","4","3","5","0","1","0","4","1","-1","4838.56679","1","4838.56679"
