year,polity_valid_mean,polity2_mean,n_valid,n_polity2,n_rows,release
1886,-1.2777777777777777,-1.2777777777777777,54,54,54,p4v2018
1887,-1.2777777777777777,-1.2777777777777777,54,54,54,p4v2018
1888,-1.148148148148148,-1.148148148148148,54,54,54,p4v2018
1889,-1.0740740740740742,-1.0740740740740742,54,54,54,p4v2018
1890,-0.8148148148148148,-0.8148148148148148,54,54,54,p4v2018
1891,-0.8518518518518519,-0.8518518518518519,54,54,54,p4v2018
1892,-0.8333333333333334,-0.8333333333333334,54,54,54,p4v2018
1893,-0.8148148148148148,-0.8148148148148148,54,54,54,p4v2018
1894,-0.7407407407407407,-0.7407407407407407,54,54,54,p4v2018
1895,-0.7592592592592593,-0.7592592592592593,54,54,54,p4v2018
1896,-0.8518518518518519,-0.8518518518518519,54,54,54,p4v2018
1897,-0.8518518518518519,-0.8518518518518519,54,54,54,p4v2018
1898,-0.5185185185185185,-0.5185185185185185,54,54,54,p4v2018
1899,-0.5185185185185185,-0.5185185185185185,54,54,54,p4v2018
1900,-0.5370370370370371,-0.5370370370370371,54,54,54,p4v2018
1901,-0.3148148148148148,-0.3454545454545454,54,55,55,p4v2018
1902,-0.2545454545454545,-0.2678571428571428,55,56,56,p4v2018
1903,-0.3090909090909091,-0.3035714285714285,55,56,56,p4v2018
1904,-0.4181818181818181,-0.3928571428571428,55,56,56,p4v2018
1905,-0.2407407407407407,-0.3392857142857143,54,56,56,p4v2018
1906,-0.1296296296296296,-0.0714285714285714,54,56,56,p4v2018
1907,-0.3962264150943396,-0.375,53,56,57,p4v2018
1908,0.0185185185185185,0.0526315789473684,54,57,57,p4v2018
1909,0.037037037037037,0.1052631578947368,54,57,57,p4v2018
1910,0.1481481481481481,0.3275862068965517,54,58,58,p4v2018
1911,0.5576923076923077,0.6140350877192983,52,57,57,p4v2018
1912,0.5192307692307693,0.6785714285714286,52,56,57,p4v2018
1913,0.92,1.0363636363636364,50,55,56,p4v2018
1914,0.5098039215686274,0.7454545454545455,51,55,57,p4v2018
1915,0.7,0.7962962962962963,50,54,57,p4v2018
1916,0.7916666666666666,0.903846153846154,48,52,57,p4v2018
1917,1.4339622641509433,1.4285714285714286,53,56,59,p4v2018
1918,1.830188679245283,1.694915254237288,53,59,63,p4v2018
1919,1.851851851851852,1.7966101694915255,54,59,63,p4v2018
1920,2.0,2.0161290322580645,59,62,64,p4v2018
1921,2.262295081967213,2.1746031746031744,61,63,65,p4v2018
1922,2.2459016393442623,2.0,61,66,67,p4v2018
1923,1.9508196721311477,1.6923076923076923,61,65,66,p4v2018
1924,1.532258064516129,1.2878787878787878,62,66,68,p4v2018
1925,1.1791044776119404,1.0735294117647058,67,68,68,p4v2018
1926,1.015384615384615,0.9264705882352942,65,68,69,p4v2018
1927,1.0307692307692309,0.8235294117647058,65,68,69,p4v2018
1928,0.6119402985074627,0.5652173913043478,67,69,69,p4v2018
1929,0.4626865671641791,0.3188405797101449,67,69,69,p4v2018
1930,0.265625,0.144927536231884,64,69,69,p4v2018
1931,0.2121212121212121,-0.0144927536231884,66,69,69,p4v2018
1932,0.2272727272727272,0.0144927536231884,66,69,69,p4v2018
1933,-0.2615384615384615,-0.3478260869565217,65,69,69,p4v2018
1934,-0.7384615384615385,-0.855072463768116,65,69,69,p4v2018
1935,-0.7352941176470589,-0.8428571428571429,68,70,70,p4v2018
1936,-1.391304347826087,-1.391304347826087,69,69,70,p4v2018
1937,-0.8805970149253731,-0.9411764705882352,67,68,70,p4v2018
1938,-0.7878787878787878,-0.7941176470588235,66,68,70,p4v2018
1939,-1.0476190476190477,-0.9850746268656716,63,67,70,p4v2018
1940,-2.2413793103448274,-2.1746031746031744,58,63,70,p4v2018
1941,-1.9423076923076923,-1.7413793103448276,52,58,67,p4v2018
1942,-2.0185185185185186,-1.8166666666666669,54,60,67,p4v2018
1943,-1.9056603773584904,-1.6557377049180328,53,61,68,p4v2018
1944,-0.7037037037037037,-0.8571428571428571,54,63,69,p4v2018
1945,0.2241379310344827,0.0597014925373134,58,67,72,p4v2018
1946,0.7258064516129032,0.2318840579710145,62,69,72,p4v2018
1947,0.365079365079365,0.0285714285714285,63,70,73,p4v2018
1948,0.1643835616438356,0.0266666666666666,73,75,78,p4v2018
1949,-0.1052631578947368,-0.2435897435897435,76,78,79,p4v2018
1950,-0.0126582278481012,-0.0126582278481012,79,79,80,p4v2018
1951,-0.0632911392405063,-0.15,79,80,81,p4v2018
1952,0.1282051282051282,-0.0123456790123456,78,81,81,p4v2018
1953,0.0769230769230769,-0.0975609756097561,78,82,82,p4v2018
1954,-0.050632911392405,-0.3214285714285714,79,84,84,p4v2018
1955,-0.1829268292682926,-0.2705882352941176,82,85,85,p4v2018
1956,0.0476190476190476,0.0581395348837209,84,86,87,p4v2018
1957,0.1395348837209302,0.1590909090909091,86,88,88,p4v2018
1958,-0.3218390804597701,-0.3295454545454545,87,88,89,p4v2018
1959,-0.1444444444444444,-0.1428571428571428,90,91,92,p4v2018
1960,-0.6915887850467289,-0.6454545454545455,107,110,111,p4v2018
1961,-0.7636363636363637,-0.7719298245614035,110,114,114,p4v2018
1962,-0.7192982456140351,-0.7627118644067796,114,118,118,p4v2018
1963,-1.087719298245614,-1.0756302521008403,114,119,120,p4v2018
1964,-1.0701754385964912,-1.115702479338843,114,121,122,p4v2018
1965,-1.1610169491525424,-1.1639344262295082,118,122,123,p4v2018
1966,-1.2950819672131149,-1.264,122,125,126,p4v2018
1967,-1.5887096774193548,-1.5634920634920637,124,126,127,p4v2018
1968,-1.4285714285714286,-1.4108527131782946,126,129,130,p4v2018
1969,-1.768,-1.7054263565891472,125,129,130,p4v2018
1970,-1.6771653543307086,-1.6946564885496185,127,131,132,p4v2018
1971,-2.1615384615384614,-2.1194029850746268,130,134,135,p4v2018
1972,-2.537878787878788,-2.474074074074074,132,135,136,p4v2018
1973,-2.417910447761194,-2.411764705882353,134,136,136,p4v2018
1974,-2.308270676691729,-2.291970802919708,133,137,137,p4v2018
1975,-2.3093525179856114,-2.244755244755245,139,143,143,p4v2018
1976,-2.5319148936170213,-2.4895104895104896,141,143,143,p4v2018
1977,-2.618705035971223,-2.5174825174825175,139,143,143,p4v2018
1978,-2.1231884057971016,-2.0694444444444446,138,144,144,p4v2018
1979,-1.7462686567164178,-1.6382978723404256,134,141,144,p4v2018
1980,-1.9191176470588236,-1.8591549295774648,136,142,144,p4v2018
1981,-1.9635036496350364,-1.8943661971830985,137,142,144,p4v2018
1982,-1.870503597122302,-1.816901408450704,139,142,144,p4v2018
1983,-1.6762589928057554,-1.6126760563380282,139,142,144,p4v2018
1984,-1.6785714285714286,-1.6830985915492958,140,142,144,p4v2018
1985,-1.4710144927536233,-1.4366197183098592,138,142,144,p4v2018
1986,-1.2949640287769784,-1.3169014084507042,139,142,144,p4v2018
1987,-1.237410071942446,-1.2605633802816902,139,142,144,p4v2018
1988,-1.0,-0.986013986013986,141,143,144,p4v2018
1989,-0.5539568345323741,-0.5244755244755245,139,143,144,p4v2018
1990,0.6762589928057554,0.5833333333333334,139,144,147,p4v2018
1991,1.5782312925170068,1.3375,147,160,161,p4v2018
1992,2.1824324324324325,2.00625,148,160,161,p4v2018
1993,2.3006535947712417,2.208588957055215,153,163,164,p4v2018
1994,2.616883116883117,2.4876543209876543,154,162,163,p4v2018
1995,2.5844155844155843,2.459627329192547,154,161,163,p4v2018
1996,2.420382165605095,2.347826086956522,157,161,163,p4v2018
1997,2.3734177215189876,2.329192546583851,158,161,163,p4v2018
1998,2.587096774193548,2.484472049689441,155,161,163,p4v2018
1999,2.7973856209150325,2.701863354037267,153,161,163,p4v2018
2000,2.987012987012987,2.9440993788819876,154,161,163,p4v2018
2001,3.220779220779221,3.15,154,160,163,p4v2018
2002,3.352564102564102,3.260869565217391,156,161,164,p4v2018
2003,3.363636363636364,3.289308176100629,154,159,164,p4v2018
2004,3.4805194805194803,3.41875,154,160,164,p4v2018
2005,3.673076923076923,3.633540372670807,156,161,164,p4v2018
2006,3.7639751552795033,3.7177914110429446,161,163,166,p4v2018
2007,3.73125,3.685185185185185,160,162,165,p4v2018
2008,3.8447204968944098,3.7975460122699385,161,163,166,p4v2018
2009,3.8322981366459623,3.785276073619632,161,163,166,p4v2018
2010,3.9125,3.841463414634146,160,164,166,p4v2018
2011,4.061728395061729,4.012121212121212,162,165,168,p4v2018
2012,4.1125,4.0,160,165,167,p4v2018
2013,4.25625,4.163636363636364,160,165,167,p4v2018
2014,4.22360248447205,4.096385542168675,161,166,167,p4v2018
2015,4.3375,4.192771084337349,160,166,167,p4v2018
2016,4.216049382716049,4.144578313253012,162,166,167,p4v2018
2017,4.190184049079755,4.114457831325301,163,166,167,p4v2018
2018,4.184049079754601,4.096385542168675,163,166,167,p4v2018
1800,-7.318181818181818,-7.318181818181818,22,22,22,p5v2018
1801,-7.142857142857143,-7.142857142857143,21,21,22,p5v2018
1802,-7.272727272727272,-7.272727272727272,22,22,22,p5v2018
1803,-7.272727272727272,-7.272727272727272,22,22,22,p5v2018
1804,-7.272727272727272,-7.272727272727272,22,22,22,p5v2018
1805,-7.142857142857143,-7.142857142857143,21,21,22,p5v2018
1806,-7.272727272727272,-7.272727272727272,22,22,23,p5v2018
1807,-7.142857142857143,-7.142857142857143,21,21,23,p5v2018
1808,-7.0,-7.0,20,20,23,p5v2018
1809,-6.842105263157895,-6.95,19,20,23,p5v2018
1810,-6.842105263157895,-6.95,19,20,23,p5v2018
1811,-6.95,-7.0476190476190474,20,21,24,p5v2018
1812,-7.0,-7.0,21,21,24,p5v2018
1813,-7.0,-7.0,21,21,24,p5v2018
1814,-6.913043478260869,-6.913043478260869,23,23,25,p5v2018
1815,-7.466666666666667,-7.466666666666667,30,30,31,p5v2018
1816,-7.548387096774194,-7.548387096774194,31,31,32,p5v2018
1817,-7.548387096774194,-7.548387096774194,31,31,32,p5v2018
1818,-7.4375,-7.4375,32,32,33,p5v2018
1819,-7.333333333333333,-7.333333333333333,33,33,34,p5v2018
1820,-6.9411764705882355,-6.828571428571428,34,35,35,p5v2018
1821,-6.777777777777778,-6.675675675675675,36,37,37,p5v2018
1822,-6.675675675675675,-6.578947368421052,37,38,38,p5v2018
1823,-6.631578947368421,-6.631578947368421,38,38,38,p5v2018
1824,-6.435897435897436,-6.35,39,40,40,p5v2018
1825,-6.2926829268292686,-6.166666666666667,41,42,42,p5v2018
1826,-6.2926829268292686,-6.119047619047619,41,42,42,p5v2018
1827,-6.261904761904762,-6.046511627906977,42,43,43,p5v2018
1828,-6.093023255813954,-6.093023255813954,43,43,43,p5v2018
1829,-6.0476190476190474,-6.023255813953488,42,43,43,p5v2018
1830,-5.782608695652174,-5.75,46,48,48,p5v2018
1831,-5.695652173913044,-5.666666666666667,46,48,48,p5v2018
1832,-5.531914893617022,-5.510204081632653,47,49,49,p5v2018
1833,-5.565217391304348,-5.520833333333333,46,48,48,p5v2018
1834,-5.608695652173913,-5.520833333333333,46,48,48,p5v2018
1835,-5.708333333333333,-5.708333333333333,48,48,48,p5v2018
1836,-5.595744680851064,-5.541666666666667,47,48,48,p5v2018
1837,-5.395833333333333,-5.395833333333333,48,48,48,p5v2018
1838,-5.18,-5.18,50,50,50,p5v2018
1839,-5.196078431372549,-5.196078431372549,51,51,51,p5v2018
1840,-5.196078431372549,-5.196078431372549,51,51,51,p5v2018
1841,-5.098039215686274,-5.098039215686274,51,51,52,p5v2018
1842,-5.134615384615385,-5.134615384615385,52,52,52,p5v2018
1843,-5.134615384615385,-5.134615384615385,52,52,52,p5v2018
1844,-5.113207547169812,-5.113207547169812,53,53,53,p5v2018
1845,-5.150943396226415,-5.150943396226415,53,53,53,p5v2018
1846,-5.134615384615385,-5.134615384615385,52,52,53,p5v2018
1847,-4.811320754716981,-4.811320754716981,53,53,54,p5v2018
1848,-3.924528301886793,-4.018518518518518,53,54,55,p5v2018
1849,-3.814814814814815,-3.909090909090909,54,55,55,p5v2018
1850,-3.890909090909091,-3.890909090909091,55,55,55,p5v2018
1851,-3.9814814814814814,-3.9272727272727272,54,55,55,p5v2018
1852,-4.169811320754717,-4.166666666666667,53,54,55,p5v2018
1853,-4.148148148148148,-4.148148148148148,54,54,55,p5v2018
1854,-4.0,-4.0,56,56,56,p5v2018
1855,-3.9107142857142856,-3.9107142857142856,56,56,57,p5v2018
1856,-3.9107142857142856,-3.9107142857142856,56,56,57,p5v2018
1857,-3.6666666666666665,-3.6666666666666665,57,57,58,p5v2018
1858,-3.6842105263157894,-3.775862068965518,57,58,58,p5v2018
1859,-3.6206896551724137,-3.694915254237288,58,59,59,p5v2018
1860,-3.7358490566037736,-3.7413793103448274,53,58,59,p5v2018
1861,-3.176470588235294,-3.1818181818181817,51,55,56,p5v2018
1862,-3.14,-3.0545454545454547,50,55,55,p5v2018
1863,-3.2,-2.9814814814814814,50,54,55,p5v2018
1864,-3.173076923076923,-3.0545454545454547,52,55,55,p5v2018
1865,-2.9814814814814814,-2.963636363636364,54,55,55,p5v2018
1866,-3.1296296296296298,-3.090909090909091,54,55,55,p5v2018
1867,-2.75,-2.7586206896551726,56,58,58,p5v2018
1868,-2.672727272727273,-2.7586206896551726,55,58,58,p5v2018
1869,-2.5454545454545454,-2.6379310344827585,55,58,58,p5v2018
1870,-2.5272727272727273,-2.5344827586206895,55,58,58,p5v2018
1871,-2.363636363636364,-2.3333333333333335,55,57,57,p5v2018
1872,-1.94,-1.9056603773584904,50,53,53,p5v2018
1873,-1.9230769230769231,-1.849056603773585,52,53,53,p5v2018
1874,-1.803921568627451,-1.7547169811320755,51,53,53,p5v2018
1875,-1.803921568627451,-1.679245283018868,51,53,53,p5v2018
1876,-1.96078431372549,-1.8867924528301887,51,53,53,p5v2018
1877,-1.8076923076923077,-1.9056603773584904,52,53,53,p5v2018
1878,-1.8076923076923077,-1.9245283018867925,52,53,53,p5v2018
1879,-1.660377358490566,-1.7962962962962965,53,54,54,p5v2018
1880,-1.351851851851852,-1.351851851851852,54,54,54,p5v2018
1881,-1.339622641509434,-1.339622641509434,53,53,54,p5v2018
1882,-1.339622641509434,-1.339622641509434,53,53,54,p5v2018
